                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.4643,                 1.3422,                 1.3565,                0.76593,                0.58715,                0.68586,                0.44348,                 1.2005,                 0.9835,                 1.1627,              0.0066802,              0.0066802,              0.0066802
                     70,                 1.4611,                 1.3383,                  1.356,                0.76384,                0.58928,                0.68619,                0.44391,                 1.1988,                0.98207,                 1.1618,              0.0066306,              0.0066306,              0.0066306
                     71,                 1.4646,                 1.3365,                 1.3564,                0.76376,                0.58917,                0.68664,                0.44451,                 1.1976,                  0.981,                 1.1611,              0.0065811,              0.0065811,              0.0065811
                     72,                 1.4659,                   1.34,                  1.357,                0.76516,                 0.5891,                0.68686,                0.44466,                 1.1966,                0.98012,                 1.1604,              0.0065315,              0.0065315,              0.0065315
                     73,                 1.4587,                 1.3314,                 1.3503,                0.76809,                0.58818,                0.68738,                0.44539,                  1.195,                0.97882,                 1.1595,               0.006482,               0.006482,               0.006482
                     74,                 1.4591,                 1.3327,                 1.3505,                0.76978,                0.58841,                0.68778,                0.44588,                 1.1938,                0.97763,                 1.1588,              0.0064324,              0.0064324,              0.0064324
                     75,                 1.4604,                  1.332,                   1.35,                0.76751,                0.59032,                0.68834,                0.44635,                 1.1924,                 0.9766,                 1.1582,              0.0063828,              0.0063828,              0.0063828
                     76,                 1.4567,                 1.3316,                 1.3518,                0.77016,                0.58913,                0.68893,                0.44673,                 1.1909,                0.97508,                 1.1573,              0.0063333,              0.0063333,              0.0063333
                     77,                 1.4567,                 1.3292,                 1.3511,                0.76846,                0.59092,                0.68915,                0.44718,                 1.1902,                0.97414,                 1.1566,              0.0062838,              0.0062838,              0.0062838
                     78,                 1.4606,                 1.3304,                   1.35,                0.76865,                0.59081,                0.68934,                0.44771,                 1.1889,                0.97282,                 1.1556,              0.0062342,              0.0062342,              0.0062342
                     79,                 1.4579,                 1.3282,                 1.3498,                0.76757,                0.59166,                0.68955,                0.44813,                 1.1877,                0.97187,                 1.1545,              0.0061847,              0.0061847,              0.0061847
                     80,                  1.454,                 1.3269,                 1.3498,                0.76831,                0.59102,                0.68995,                0.44886,                 1.1867,                 0.9705,                 1.1536,              0.0061351,              0.0061351,              0.0061351
                     81,                 1.4546,                 1.3295,                 1.3494,                0.76841,                0.59118,                0.69033,                0.44944,                 1.1858,                 0.9691,                 1.1531,              0.0060855,              0.0060855,              0.0060855
                     82,                 1.4549,                 1.3286,                 1.3506,                0.76934,                0.59244,                0.69089,                0.45015,                 1.1847,                0.96748,                 1.1526,               0.006036,               0.006036,               0.006036
                     83,                  1.448,                 1.3197,                 1.3466,                0.76921,                0.59372,                0.69117,                0.45059,                 1.1838,                0.96626,                  1.152,              0.0059864,              0.0059864,              0.0059864
                     84,                 1.4478,                 1.3235,                 1.3478,                0.76966,                0.59394,                0.69189,                0.45066,                 1.1828,                0.96515,                 1.1513,              0.0059369,              0.0059369,              0.0059369
                     85,                 1.4458,                 1.3188,                 1.3447,                0.77028,                0.59383,                0.69217,                0.45107,                 1.1822,                0.96409,                 1.1509,              0.0058874,              0.0058874,              0.0058874
                     86,                 1.4464,                 1.3197,                 1.3434,                0.76966,                0.59444,                0.69275,                 0.4516,                 1.1813,                0.96292,                 1.1502,              0.0058378,              0.0058378,              0.0058378
