                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.4121,                 1.2639,                 1.3482,                0.78082,                0.63965,                0.73751,                0.48748,                 1.1439,                0.89998,                 1.1442,               0.007473,               0.007473,               0.007473
                     54,                 1.4133,                 1.2598,                  1.347,                0.78226,                0.63998,                0.73785,                0.48764,                 1.1428,                0.89896,                 1.1434,              0.0074234,              0.0074234,              0.0074234
                     55,                 1.4055,                 1.2569,                 1.3442,                0.78247,                0.64014,                0.73814,                0.48799,                 1.1422,                 0.8983,                  1.143,              0.0073738,              0.0073738,              0.0073738
                     56,                  1.408,                  1.256,                 1.3459,                0.78524,                0.63923,                0.73822,                0.48819,                 1.1418,                 0.8978,                 1.1427,              0.0073243,              0.0073243,              0.0073243
                     57,                 1.4062,                 1.2553,                 1.3426,                 0.7844,                 0.6391,                0.73841,                0.48836,                 1.1412,                0.89725,                 1.1422,              0.0072747,              0.0072747,              0.0072747
                     58,                 1.4073,                 1.2537,                 1.3436,                0.78641,                0.63844,                0.73856,                0.48868,                 1.1407,                0.89644,                 1.1418,              0.0072252,              0.0072252,              0.0072252
                     59,                 1.4063,                   1.25,                 1.3418,                0.78863,                0.63746,                 0.7386,                0.48901,                 1.1404,                0.89569,                 1.1416,              0.0071757,              0.0071757,              0.0071757
                     60,                 1.4039,                 1.2548,                  1.344,                0.78753,                0.63806,                0.73925,                0.48945,                 1.1398,                0.89507,                  1.141,              0.0071261,              0.0071261,              0.0071261
                     61,                 1.4053,                 1.2517,                 1.3443,                0.78828,                 0.6385,                0.73934,                0.48961,                 1.1394,                 0.8941,                 1.1408,              0.0070766,              0.0070766,              0.0070766
                     62,                 1.4032,                 1.2505,                 1.3438,                0.78895,                0.63837,                0.73916,                0.48992,                 1.1389,                0.89365,                 1.1406,               0.007027,               0.007027,               0.007027
                     63,                 1.4023,                 1.2474,                  1.342,                0.78723,                0.63866,                0.73929,                0.49011,                 1.1386,                0.89298,                 1.1406,              0.0069775,              0.0069775,              0.0069775
                     64,                  1.402,                 1.2476,                 1.3404,                0.78732,                0.63888,                0.73948,                0.49055,                 1.1381,                0.89228,                   1.14,              0.0069279,              0.0069279,              0.0069279
                     65,                 1.3997,                 1.2451,                 1.3408,                0.78698,                0.64042,                0.73978,                0.49089,                 1.1373,                0.89144,                 1.1395,              0.0068784,              0.0068784,              0.0068784
                     66,                 1.3982,                 1.2465,                 1.3403,                 0.7894,                0.63966,                0.74012,                0.49128,                 1.1369,                0.89048,                 1.1393,              0.0068288,              0.0068288,              0.0068288
                     67,                 1.3982,                 1.2448,                 1.3369,                0.78751,                 0.6412,                0.74025,                0.49139,                 1.1363,                0.88977,                  1.139,              0.0067793,              0.0067793,              0.0067793
                     68,                 1.4003,                  1.246,                 1.3395,                0.79038,                0.64047,                 0.7404,                0.49182,                 1.1355,                0.88881,                 1.1385,              0.0067297,              0.0067297,              0.0067297
                     69,                 1.3938,                 1.2432,                 1.3388,                0.79062,                0.63985,                0.74041,                0.49219,                 1.1349,                0.88784,                 1.1382,              0.0066802,              0.0066802,              0.0066802
                     70,                 1.3924,                 1.2395,                 1.3364,                0.78976,                0.64043,                0.74047,                0.49211,                 1.1342,                 0.8869,                 1.1375,              0.0066306,              0.0066306,              0.0066306
                     71,                 1.3951,                 1.2405,                  1.338,                0.79137,                  0.639,                0.74043,                0.49219,                 1.1336,                0.88638,                 1.1373,              0.0065811,              0.0065811,              0.0065811
                     72,                 1.3968,                 1.2438,                 1.3394,                0.79231,                0.63877,                0.74036,                0.49257,                 1.1333,                 0.8858,                 1.1374,              0.0065315,              0.0065315,              0.0065315
                     73,                 1.3908,                  1.234,                 1.3331,                0.79263,                0.63855,                0.74079,                0.49285,                  1.133,                0.88531,                 1.1373,               0.006482,               0.006482,               0.006482
                     74,                 1.3911,                 1.2332,                  1.333,                0.79307,                0.63848,                0.74091,                0.49295,                 1.1327,                0.88434,                  1.137,              0.0064324,              0.0064324,              0.0064324
                     75,                 1.3926,                  1.235,                 1.3322,                0.79129,                0.64012,                0.74158,                0.49318,                 1.1321,                0.88387,                 1.1367,              0.0063828,              0.0063828,              0.0063828
                     76,                 1.3879,                 1.2364,                 1.3332,                0.78978,                0.64168,                0.74217,                 0.4934,                 1.1321,                0.88322,                 1.1364,              0.0063333,              0.0063333,              0.0063333
                     77,                 1.3896,                 1.2356,                 1.3356,                0.79124,                 0.6413,                0.74234,                0.49369,                 1.1316,                0.88257,                 1.1362,              0.0062838,              0.0062838,              0.0062838
                     78,                 1.3925,                 1.2366,                 1.3343,                0.79196,                0.64169,                0.74259,                0.49354,                 1.1311,                0.88164,                 1.1358,              0.0062342,              0.0062342,              0.0062342
                     79,                 1.3881,                 1.2357,                 1.3321,                0.79043,                0.64267,                0.74279,                0.49398,                 1.1307,                0.88126,                 1.1355,              0.0061847,              0.0061847,              0.0061847
                     80,                 1.3854,                 1.2341,                 1.3348,                 0.7903,                0.64278,                0.74322,                0.49438,                   1.13,                0.88057,                 1.1351,              0.0061351,              0.0061351,              0.0061351
                     81,                 1.3871,                 1.2344,                 1.3331,                0.79292,                0.64185,                0.74339,                0.49452,                 1.1295,                0.87982,                 1.1347,              0.0060855,              0.0060855,              0.0060855
                     82,                 1.3875,                 1.2324,                 1.3324,                0.79213,                0.64238,                0.74349,                0.49452,                 1.1286,                0.87915,                  1.134,               0.006036,               0.006036,               0.006036
                     83,                 1.3831,                 1.2255,                  1.331,                0.79106,                0.64327,                 0.7436,                0.49477,                  1.128,                0.87893,                 1.1336,              0.0059864,              0.0059864,              0.0059864
                     84,                 1.3803,                 1.2293,                 1.3309,                0.79124,                0.64311,                0.74356,                0.49477,                  1.128,                0.87819,                 1.1335,              0.0059369,              0.0059369,              0.0059369
                     85,                 1.3804,                 1.2263,                 1.3291,                0.79276,                0.64293,                0.74389,                0.49523,                 1.1273,                0.87772,                 1.1331,              0.0058874,              0.0058874,              0.0058874
                     86,                 1.3817,                 1.2267,                 1.3287,                0.79399,                0.64166,                0.74399,                0.49544,                 1.1269,                0.87731,                 1.1329,              0.0058378,              0.0058378,              0.0058378
                     87,                  1.385,                 1.2242,                 1.3279,                0.79377,                0.64272,                0.74464,                0.49549,                 1.1263,                0.87642,                 1.1325,              0.0057882,              0.0057882,              0.0057882
                     88,                 1.3796,                 1.2262,                 1.3289,                0.79412,                0.64272,                0.74454,                0.49567,                  1.126,                0.87592,                 1.1322,              0.0057387,              0.0057387,              0.0057387
                     89,                 1.3824,                 1.2283,                 1.3324,                0.79547,                0.64278,                0.74484,                0.49588,                 1.1254,                0.87529,                  1.132,              0.0056891,              0.0056891,              0.0056891
                     90,                 1.3835,                 1.2239,                 1.3259,                0.79393,                0.64366,                0.74495,                0.49591,                 1.1251,                0.87509,                 1.1316,              0.0056396,              0.0056396,              0.0056396
                     91,                 1.3749,                 1.2161,                 1.3221,                0.79429,                0.64327,                0.74515,                 0.4961,                 1.1242,                0.87469,                 1.1311,              0.0055901,              0.0055901,              0.0055901
                     92,                 1.3763,                 1.2169,                 1.3211,                0.79239,                0.64475,                0.74547,                0.49651,                 1.1237,                0.87405,                 1.1306,              0.0055405,              0.0055405,              0.0055405
