                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.3424,                 1.1871,                  1.473,                0.79713,                0.64179,                0.74297,                 0.4954,                 1.1192,                0.85389,                 1.3458,              0.0064985,              0.0064985,              0.0064985
                     56,                  1.343,                 1.1853,                 1.4734,                0.79921,                 0.6413,                0.74363,                0.49582,                 1.1185,                0.85295,                 1.3444,              0.0064324,              0.0064324,              0.0064324
                     57,                 1.3411,                 1.1839,                 1.4714,                0.79917,                 0.6413,                0.74427,                0.49625,                 1.1182,                0.85196,                 1.3432,              0.0063663,              0.0063663,              0.0063663
                     58,                 1.3428,                 1.1856,                 1.4736,                0.79909,                0.64124,                0.74449,                0.49663,                 1.1179,                 0.8512,                 1.3419,              0.0063003,              0.0063003,              0.0063003
                     59,                 1.3406,                 1.1791,                 1.4671,                0.79901,                0.64133,                0.74505,                0.49733,                 1.1177,                 0.8505,                 1.3404,              0.0062342,              0.0062342,              0.0062342
                     60,                 1.3346,                 1.1786,                 1.4673,                0.79858,                  0.642,                0.74562,                0.49775,                 1.1172,                 0.8499,                 1.3391,              0.0061681,              0.0061681,              0.0061681
                     61,                 1.3347,                  1.178,                 1.4631,                0.79866,                0.64311,                0.74607,                0.49802,                 1.1167,                0.84961,                 1.3376,              0.0061021,              0.0061021,              0.0061021
                     62,                 1.3349,                 1.1763,                 1.4609,                0.79734,                0.64459,                0.74662,                0.49838,                 1.1165,                0.84927,                 1.3361,               0.006036,               0.006036,               0.006036
                     63,                 1.3352,                 1.1725,                 1.4602,                0.79793,                0.64526,                0.74699,                0.49878,                 1.1164,                0.84882,                  1.335,              0.0059699,              0.0059699,              0.0059699
                     64,                   1.33,                 1.1717,                 1.4587,                 0.7954,                0.64739,                0.74714,                0.49902,                 1.1165,                0.84847,                 1.3338,              0.0059039,              0.0059039,              0.0059039
                     65,                 1.3309,                 1.1718,                 1.4568,                0.79848,                0.64662,                0.74789,                0.49967,                 1.1165,                0.84797,                 1.3329,              0.0058378,              0.0058378,              0.0058378
                     66,                  1.333,                 1.1726,                 1.4553,                 0.7968,                0.64838,                0.74819,                0.50019,                 1.1159,                0.84724,                 1.3314,              0.0057717,              0.0057717,              0.0057717
                     67,                 1.3279,                 1.1693,                 1.4556,                0.79592,                0.64973,                0.74846,                0.50038,                 1.1153,                0.84611,                 1.3302,              0.0057057,              0.0057057,              0.0057057
                     68,                  1.326,                 1.1682,                 1.4538,                0.79833,                0.64838,                0.74938,                0.50064,                 1.1149,                0.84575,                 1.3291,              0.0056396,              0.0056396,              0.0056396
                     69,                  1.324,                 1.1636,                 1.4508,                0.79974,                 0.6475,                0.74952,                0.50096,                 1.1144,                0.84535,                 1.3281,              0.0055735,              0.0055735,              0.0055735
                     70,                 1.3242,                 1.1649,                 1.4474,                 0.7999,                0.64684,                0.74948,                0.50132,                  1.114,                0.84474,                 1.3269,              0.0055075,              0.0055075,              0.0055075
                     71,                 1.3218,                 1.1605,                 1.4479,                0.79901,                0.64831,                0.74962,                0.50172,                 1.1133,                0.84406,                 1.3259,              0.0054414,              0.0054414,              0.0054414
                     72,                 1.3221,                 1.1645,                 1.4452,                0.80014,                0.64821,                0.74986,                 0.5018,                 1.1129,                0.84346,                 1.3245,              0.0053753,              0.0053753,              0.0053753
                     73,                 1.3193,                 1.1555,                 1.4432,                0.79938,                0.64969,                0.75051,                0.50215,                 1.1124,                0.84248,                 1.3234,              0.0053093,              0.0053093,              0.0053093
                     74,                 1.3172,                 1.1538,                 1.4424,                0.79896,                0.65008,                0.75037,                0.50201,                 1.1117,                0.84166,                 1.3223,              0.0052432,              0.0052432,              0.0052432
                     75,                 1.3179,                 1.1547,                 1.4407,                0.79893,                0.65059,                0.75063,                0.50274,                  1.111,                0.84145,                  1.321,              0.0051771,              0.0051771,              0.0051771
                     76,                 1.3153,                 1.1527,                 1.4385,                0.80035,                0.64936,                0.75069,                0.50286,                 1.1102,                0.84086,                 1.3196,              0.0051111,              0.0051111,              0.0051111
                     77,                 1.3149,                 1.1532,                 1.4389,                0.80147,                0.64898,                0.75115,                 0.5033,                 1.1094,                0.84019,                 1.3182,               0.005045,               0.005045,               0.005045
                     78,                 1.3143,                 1.1497,                 1.4386,                0.79988,                0.65032,                0.75142,                0.50366,                 1.1087,                0.83953,                 1.3174,              0.0049789,              0.0049789,              0.0049789
                     79,                 1.3132,                 1.1563,                 1.4371,                0.80195,                0.64991,                0.75176,                0.50405,                  1.108,                0.83864,                 1.3163,              0.0049129,              0.0049129,              0.0049129
                     80,                  1.314,                 1.1508,                 1.4378,                0.80441,                0.65019,                0.75204,                0.50459,                 1.1077,                0.83768,                 1.3154,              0.0048468,              0.0048468,              0.0048468
                     81,                 1.3105,                 1.1469,                 1.4327,                0.80211,                0.65244,                0.75236,                0.50476,                  1.107,                 0.8371,                 1.3143,              0.0047807,              0.0047807,              0.0047807
                     82,                 1.3091,                 1.1457,                 1.4343,                0.80214,                0.65224,                0.75289,                0.50538,                 1.1062,                0.83623,                 1.3131,              0.0047147,              0.0047147,              0.0047147
                     83,                  1.303,                 1.1383,                 1.4289,                0.80332,                 0.6515,                0.75283,                0.50552,                 1.1058,                0.83548,                 1.3121,              0.0046486,              0.0046486,              0.0046486
                     84,                 1.3062,                 1.1423,                 1.4296,                 0.8046,                0.65095,                0.75318,                0.50595,                 1.1052,                0.83466,                 1.3109,              0.0045825,              0.0045825,              0.0045825
                     85,                 1.3044,                 1.1407,                 1.4261,                0.80199,                0.65337,                0.75332,                0.50609,                 1.1046,                0.83389,                 1.3096,              0.0045165,              0.0045165,              0.0045165
                     86,                 1.3041,                 1.1357,                 1.4216,                0.80114,                0.65391,                0.75345,                0.50654,                 1.1034,                0.83305,                 1.3078,              0.0044504,              0.0044504,              0.0044504
                     87,                  1.303,                 1.1351,                 1.4259,                0.80222,                0.65413,                0.75372,                0.50657,                 1.1026,                0.83261,                 1.3067,              0.0043843,              0.0043843,              0.0043843
                     88,                 1.2984,                 1.1374,                 1.4209,                0.80464,                0.65314,                 0.7542,                0.50695,                 1.1019,                0.83133,                 1.3057,              0.0043183,              0.0043183,              0.0043183
                     89,                 1.3026,                 1.1342,                 1.4247,                0.80299,                 0.6544,                0.75457,                0.50732,                 1.1013,                0.83097,                 1.3046,              0.0042522,              0.0042522,              0.0042522
                     90,                 1.2987,                 1.1322,                 1.4199,                0.80224,                0.65624,                 0.7546,                0.50756,                 1.1009,                0.83014,                 1.3032,              0.0041861,              0.0041861,              0.0041861
                     91,                 1.2982,                 1.1273,                   1.42,                0.80356,                0.65606,                0.75487,                0.50761,                 1.1001,                 0.8296,                 1.3019,              0.0041201,              0.0041201,              0.0041201
                     92,                  1.296,                 1.1249,                  1.418,                0.80179,                0.65666,                 0.7549,                  0.508,                 1.0994,                0.82931,                 1.3008,               0.004054,               0.004054,               0.004054
